"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"231-1"	"Detention/Slow Release"	2034	1.21559838637382	20079	"56th St, 57th St, Race St, and Vine St (Daroff School)"	2012-12-13	"Closed"
"231-2"	"Detention/Slow Release"	3924	1.44198438217731	32655	"56th St, 57th St, Race St, and Vine St (Daroff School)"	2012-12-13	"Closed"
"231-3"	"Detention/Slow Release"	2211	0.995124146725677	26662	"56th St, 57th St, Race St, and Vine St (Daroff School)"	2012-12-13	"Closed"
"258-1"	"Detention/Slow Release"	3352	1.36292481279436	29513	"Oakford, 30th (Donald Finnegan Playground)"	2013-05-16	"Closed"
"259-1"	"Detention/Slow Release"	5089	1.65383886255924	36925	"24th St and Wolf St (Smith Playground)"	2013-05-16	"Closed"
"259-2"	"Infiltration"	2387	1.54124293785311	18585	"24th St and Wolf St (Smith Playground)"	2013-05-16	"Closed"
"261-1"	"Detention/Slow Release"	1377	1.77391304347826	9315	"Stephen Girard School"	2013-05-16	"Closed"
"247-1"	"Detention/Slow Release"	2458	1.31169119935963	22487	"22nd, Carpenter, Montrose (Julian Abele Park)"	2013-05-16	"Closed"
"262-1"	"Detention/Slow Release"	1869	1.34638011766118	16658	"Southwark School"	2013-05-16	"Closed"
"470-1"	"Infiltration"	1392	1.02800172318297	16249	"Woodland Ave (Tiger III)"	NA	"NTP"
"470-2"	"Detention/Slow Release"	650	0.82261126344653	9482	"Woodland Ave (Tiger III)"	NA	"NTP"
"470-3"	"Detention/Slow Release"	2189	0.960087719298246	27360	"Woodland Ave (Tiger III)"	NA	"NTP"
"470-4"	"Detention/Slow Release"	685	0.970254957507082	8472	"Woodland Ave (Tiger III)"	NA	"NTP"
"322-1"	"Detention/Slow Release"	944	1.52504038772213	7428	"Haverford Triangle"	NA	"Design 70 percent Complete"
"322-2"	"Detention/Slow Release"	2657	1.16335242821177	27407	"Haverford Triangle"	NA	"Design 70 percent Complete"
"322-3"	"Infiltration"	1346	1.05956441878772	15244	"Haverford Triangle"	NA	"Design 70 percent Complete"
"530-1"	"Detention/Slow Release"	1417	1.50891827136392	11269	"Baker Playground"	NA	"Design 70 percent Complete"
"558-1"	"Detention/Slow Release"	3638	1.51894506106259	28741	"Heston Lot "	NA	"Design 70 percent Complete"
"331-1"	"Infiltration"	1274	1.45738798856053	10490	"Hope St from Berks to Norris"	NA	"NTP"
"329-1"	"Infiltration"	1155	1.5035799522673	9218	"Hope St from Master to Jefferson"	NA	"NTP"
"260-1"	"Detention/Slow Release"	2667	1.59192200557103	20104	"23rd St, 24th St, and Jackson (E.H. Vare Middle School)"	2013-05-16	"Closed"
"260-2"	"Infiltration"	1285	1.27185747278126	12124	"23rd St, 24th St, and Jackson (E.H. Vare Middle School)"	2013-05-16	"Closed"
"244-1"	"Infiltration"	5378	1.50943749269091	42755	"Ingersoll Commons Park"	NA	"In Projects Control"
"244-2"	"Detention/Slow Release"	5378	1.50943749269091	42755	"Ingersoll Commons Park"	NA	"In Projects Control"
"292-1"	"Infiltration"	3000	1.55145664540596	23204	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
"292-2"	"Infiltration"	1721.25	1.83274179236912	11270	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
"292-3"	"Infiltration"	1501.5	1.82460759493671	9875	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
"292-4"	"Detention/Slow Release"	1181.25	1.87897667020148	7544	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
"292-5"	"Detention/Slow Release"	2175	1.36306663881345	19148	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
"292-6"	"Infiltration"	2160	1.2927036058052	20051	"Benjamin Franklin Pkwy from 16th St to 19th St"	NA	"NTP"
