"SMPNumber"	"SMPTypeName"	"SMPNewVegetatedArea"	"SMPFootPrint"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"147-4-1"	"Stormwater Tree Trench"	0	1256	"Infiltration"	1914	1.41874112051393	16189	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"147-5-1"	"Stormwater Tree Trench"	0	807	"Detention/Slow Release"	1439	1.15892617449664	14900	"Woolston Ave, Walnut Ln, Rodney St (Simons Recreation Center)"	2013-05-21	"Construction Complete"
"153-1-1"	"Stormwater Planter"	99	99	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-2"	"Stormwater Planter"	99	99	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-3"	"Stormwater Planter"	88	88	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-4"	"Stormwater Planter"	88	88	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-5"	"Stormwater Planter"	88	88	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-6"	"Stormwater Planter"	88	88	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-7"	"Infiltration/Storage Trench"	0	2103	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-8"	"Stormwater Planter"	60	60	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-1-9"	"Stormwater Planter"	72	72	"Infiltration"	1666	0.978800489596083	20425	"Yorktown Park"	NA	"On Hold In Design"
"153-2-1"	"Stormwater Planter"	99	99	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-2"	"Stormwater Planter"	99	99	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-3"	"Stormwater Planter"	99	99	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-4"	"Stormwater Planter"	99	99	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-5"	"Stormwater Planter"	94	94	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-6"	"Stormwater Planter"	82	82	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-7"	"Stormwater Planter"	82	82	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-8"	"Infiltration/Storage Trench"	0	2336	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-9"	"Stormwater Planter"	72	72	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-2-10"	"Stormwater Planter"	72	72	"Detention/Slow Release"	2677	1.4899814471243	21560	"Yorktown Park"	NA	"On Hold In Design"
"153-3-1"	"Stormwater Planter"	77	77	"Detention/Slow Release"	1004	1.45595166163142	8275	"Yorktown Park"	NA	"On Hold In Design"
"153-3-2"	"Stormwater Planter"	77	77	"Detention/Slow Release"	1004	1.45595166163142	8275	"Yorktown Park"	NA	"On Hold In Design"
"153-3-3"	"Stormwater Planter"	66	66	"Detention/Slow Release"	1004	1.45595166163142	8275	"Yorktown Park"	NA	"On Hold In Design"
"153-3-4"	"Infiltration/Storage Trench"	0	819	"Detention/Slow Release"	1004	1.45595166163142	8275	"Yorktown Park"	NA	"On Hold In Design"
"153-4-1"	"Stormwater Planter"	82	82	"Infiltration"	997	1.35954545454545	8800	"Yorktown Park"	NA	"On Hold In Design"
"153-4-2"	"Stormwater Planter"	82	82	"Infiltration"	997	1.35954545454545	8800	"Yorktown Park"	NA	"On Hold In Design"
